[2025-05-25 19:27:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 19:28:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 19:29:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 19:30:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 19:31:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 19:32:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 19:33:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 19:34:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 19:35:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 19:36:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 19:37:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 19:38:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 19:38:54] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 19:39:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 19:40:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 19:40:35] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 19:41:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 19:41:46] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 19:42:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 19:43:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 19:43:52] [📢] 변화 감지됨 - 전송 실행
[2025-05-25 19:44:00] [📤] 전송 성공 → duri-brain (192.168.0.9)
[2025-05-25 19:44:01] [📢] 변화 감지됨 - 전송 실행
lost connection
[2025-05-25 19:44:01] [❌] 전송 실패 → duri-brain (192.168.0.9)
lost connection
[2025-05-25 19:44:01] [❌] 전송 실패 → duri-control (192.168.0.11)
lost connection
[2025-05-25 19:44:01] [❌] 전송 실패 → duri-evolution (192.168.0.20)
[2025-05-25 19:44:09] [📤] 전송 성공 → duri-control (192.168.0.11)
[2025-05-25 19:44:25] [📤] 전송 성공 → duri-evolution (192.168.0.20)
