time,idx,valid_r2,test_r2,r2_gap,mse_ratio,nrmse_ratio,gate_pass,gate_reason
2025-08-13 10:02:55,12,0.14344327053996964,0.1429016620336947,0.0005416085062749376,1.1678199845426034,1.0003161045257905,False,floor
2025-08-13 10:08:51,1,0.8087512077668375,0.7016289631354772,0.10712224463136033,1.8207878374816568,1.2490475767651124,False,abs_gap
2025-08-13 10:08:52,2,0.793309090266968,0.7016289631354771,0.09168012713149098,1.6847546671548077,1.2014830362212683,False,abs_gap
2025-08-13 10:08:53,3,0.7916514074410342,0.7016289631354771,0.09002244430555717,1.6713502623380876,1.196693814458783,False,abs_gap
2025-08-13 10:08:54,4,0.8087512077668375,0.7016289631354771,0.10712224463136044,1.820787837481657,1.2490475767651124,False,abs_gap
2025-08-13 10:08:56,5,0.793309090266968,0.7016289631354771,0.09168012713149098,1.6847546671548077,1.2014830362212683,False,abs_gap
2025-08-13 10:08:57,6,0.7916514074410342,0.7016289631354771,0.09002244430555717,1.6713502623380876,1.196693814458783,False,abs_gap
2025-08-13 10:08:58,7,0.9782419121122612,0.9476383031238399,0.030603608988421294,2.808628942969208,1.551302501389185,False,hard_fail_ratio
2025-08-13 10:08:59,8,0.9782419121122612,0.9476383031238399,0.030603608988421294,2.808628942969208,1.551302501389185,False,hard_fail_ratio
2025-08-13 10:09:01,9,0.9782419121122612,0.9476383031238399,0.030603608988421294,2.808628942969208,1.551302501389185,False,hard_fail_ratio
2025-08-13 10:09:02,10,0.14344327053996964,0.1429016620336947,0.0005416085062749376,1.1678199845426034,1.0003161045257905,False,floor
2025-08-13 10:09:03,11,0.14344327053996964,0.1429016620336947,0.0005416085062749376,1.1678199845426034,1.0003161045257905,False,floor
2025-08-13 10:09:05,12,0.14344327053996964,0.1429016620336947,0.0005416085062749376,1.1678199845426034,1.0003161045257905,False,floor
2025-08-13 10:15:49,1,0.8087512077668375,0.7069758269750155,0.10177538079182202,1.7881589846613273,1.2378054025097973,False,abs_gap
2025-08-13 10:15:54,2,0.7637992663127697,0.7069758269750155,0.056823439337754245,1.4478500587140455,1.1138099758438624,True,ok
2025-08-13 10:15:55,3,0.7562618157550646,0.7069758269750155,0.049285988780049084,1.4030762032496884,1.0964527944125895,True,ok
2025-08-13 10:15:56,4,0.8087512077668375,0.7069758269750155,0.10177538079182202,1.7881589846613273,1.2378054025097973,False,abs_gap
2025-08-13 10:15:57,5,0.7637992663127697,0.7069758269750154,0.056823439337754356,1.447850058714046,1.1138099758438624,True,ok
2025-08-13 10:15:58,6,0.7562618157550646,0.7069758269750155,0.049285988780049084,1.4030762032496884,1.0964527944125895,True,ok
2025-08-13 10:16:00,7,0.9782419121122612,0.9623369757997763,0.015904936312484907,2.020206871803262,1.315670785613486,False,hard_fail_ratio
2025-08-13 10:16:01,8,0.9684469936833633,0.9623369757997763,0.0061100178835870045,1.3930792592949532,1.0925396884726115,True,ok
2025-08-13 10:16:02,9,0.9676661311463256,0.9623369757997763,0.005329155346549319,1.359436412234786,1.0792666527561767,True,ok
2025-08-13 10:16:03,10,0.14344327053996964,0.14104913140008968,0.0023941391398799583,1.170344108321719,1.0013965616303786,False,regression_prevention
2025-08-13 10:16:04,11,0.08693182748595829,0.14104913140008968,-0.05411730391413139,1.097909391591952,0.9699125064438281,False,regression_prevention
2025-08-13 10:16:05,12,0.07625982350518912,0.14104913140008968,-0.06478930789490056,1.085225204311007,0.9642935128906943,False,regression_prevention
2025-08-13 10:17:06,1,0.8087512077668375,0.7069758269750155,0.10177538079182202,1.7881589846613273,1.2378054025097973,False,abs_gap
2025-08-13 10:17:07,2,0.7637992663127697,0.7069758269750155,0.056823439337754245,1.4478500587140455,1.1138099758438624,True,ok
2025-08-13 10:17:09,3,0.7562618157550646,0.7069758269750155,0.049285988780049084,1.4030762032496884,1.0964527944125895,True,ok
2025-08-13 10:17:10,4,0.8087512077668375,0.7069758269750155,0.10177538079182202,1.7881589846613273,1.2378054025097973,False,abs_gap
2025-08-13 10:17:11,5,0.7637992663127697,0.7069758269750155,0.056823439337754245,1.4478500587140455,1.1138099758438624,True,ok
2025-08-13 10:17:12,6,0.7562618157550646,0.7069758269750155,0.049285988780049084,1.4030762032496882,1.0964527944125892,True,ok
2025-08-13 10:17:13,7,0.9782419121122612,0.9623369757997763,0.015904936312484907,2.020206871803262,1.315670785613486,False,hard_fail_ratio
2025-08-13 10:17:15,8,0.9684469936833633,0.9623369757997763,0.0061100178835870045,1.3930792592949532,1.0925396884726115,True,ok
2025-08-13 10:17:16,9,0.9676661311463256,0.9623369757997763,0.005329155346549319,1.359436412234786,1.0792666527561767,True,ok
2025-08-13 10:17:17,10,0.14344327053996964,0.14104913140008968,0.0023941391398799583,1.170344108321719,1.0013965616303786,False,regression_prevention
2025-08-13 10:17:18,11,0.08693182748595829,0.14104913140008968,-0.05411730391413139,1.097909391591952,0.9699125064438281,False,regression_prevention
